id,vnf_set,latency_com,relia_com,data_volumn,source_node,des_node
0,"4, 2, 5, 1, 6",162,0.855874148,1.7,8,2
1,"4, 6, 1, 3, 2",176,0.826540415,1.2,4,6
2,"3, 1, 2, 6, 5",130,0.971008848,0.9,5,1
3,"2, 5, 4, 1, 3",160,0.900961818,1.9,9,10
4,"5, 3, 2, 6, 1",158,0.992656593,1.9,9,8
5,"4, 3, 5, 2, 6",155,0.936574139,1,9,2
6,"3, 2, 5, 6, 1",135,0.84571416,1.8,6,8
7,"2, 3, 6, 1, 4",130,0.832624392,1.4,0,3
8,"5, 6, 2, 1, 3",136,0.947293318,1.3,1,6
9,"3, 5, 2, 1, 6",165,0.848224997,1.5,5,10
10,"6, 2, 3, 4, 1",132,0.913653947,1.8,7,3
11,"3, 2, 1, 4, 6",150,0.865941824,0.9,3,1
12,"4, 3, 6, 5, 1",160,0.848620806,0.9,2,0
